line_no,word,pos,cefr,n_senses,group_size,group_classification,action
810,frustrated,adjective,C1,3,2,PAGINATION,keep
2647,frustrated,adjective,C1,1,2,PAGINATION,delete
811,frustration,noun,C1,2,2,PAGINATION,keep
2650,frustration,noun,C1,1,2,PAGINATION,delete
826,grasp,"noun, verb",C1,2,2,PAGINATION,keep
2655,grasp,"noun, verb",C1,1,2,PAGINATION,delete
827,grave,"adjective, noun",UNCLASSIFIED,1,2,PAGINATION,keep
828,grave,adjective,UNCLASSIFIED,1,2,PAGINATION,delete
831,grief,noun,C1,3,2,PAGINATION,keep
2651,grief,noun,C1,1,2,PAGINATION,delete
834,grip,"noun, verb",C1,3,2,PAGINATION,keep
2652,grip,"noun, verb",C1,1,2,PAGINATION,delete
835,gross,adjective,C1,3,2,PAGINATION,keep
2653,gross,adjective,C1,1,2,PAGINATION,delete
840,hail,verb,C1,2,2,PAGINATION,keep
2654,hail,verb,C1,2,2,PAGINATION,delete
842,halt,"noun, verb",C1,3,2,PAGINATION,keep
2657,halt,"noun, verb",C1,1,2,PAGINATION,delete
844,handling,noun,C1,3,2,PAGINATION,keep
2656,handling,noun,C1,1,2,PAGINATION,delete
859,hook,noun,C1,3,2,PAGINATION,keep
2658,hook,noun,C1,3,2,PAGINATION,delete
862,horn,noun,C1,3,2,PAGINATION,keep
2659,horn,noun,C1,1,2,PAGINATION,delete
886,indictment,noun,C1,2,2,PAGINATION,keep
2660,indictment,noun,C1,1,2,PAGINATION,delete
888,induce,verb,C1,2,2,PAGINATION,keep
2661,induce,verb,C1,1,2,PAGINATION,delete
922,interference,noun,C1,2,2,PAGINATION,keep
2662,interference,noun,C1,2,2,PAGINATION,delete
946,landmark,noun,C1,2,2,PAGINATION,keep
2663,landmark,noun,C1,1,2,PAGINATION,delete
947,lap,noun,C1,3,2,PAGINATION,keep
2664,lap,noun,C1,1,2,PAGINATION,delete
961,legitimate,adjective,C1,2,2,PAGINATION,keep
2665,legitimate,adjective,C1,1,2,PAGINATION,delete
975,line-up,noun,C1,2,2,PAGINATION,keep
2668,line-up,noun,C1,1,2,PAGINATION,delete
979,lobby,"noun, verb",C1,2,2,PAGINATION,keep
2666,lobby,"noun, verb",C1,2,2,PAGINATION,delete
981,logic,noun,C1,3,2,PAGINATION,keep
2667,logic,noun,C1,1,2,PAGINATION,delete
985,loop,noun,C1,3,2,PAGINATION,keep
2669,loop,noun,C1,1,2,PAGINATION,delete
991,magnitude,noun,C1,2,2,PAGINATION,keep
2670,magnitude,noun,C1,1,2,PAGINATION,delete
994,maintenance,noun,C1,2,2,PAGINATION,keep
2671,maintenance,noun,C1,2,2,PAGINATION,delete
1000,march,"noun, verb",C1,3,2,PAGINATION,keep
2675,march,"noun, verb",C1,1,2,PAGINATION,delete
1001,marginal,adjective,C1,3,2,PAGINATION,keep
2672,marginal,adjective,C1,2,2,PAGINATION,delete
1004,mask,noun,C1,3,2,PAGINATION,keep
2674,mask,noun,C1,1,2,PAGINATION,delete
1007,mature,"adjective, verb",C1,3,2,PAGINATION,keep
2673,mature,"adjective, verb",C1,1,2,PAGINATION,delete
1023,merit,noun,C1,2,2,PAGINATION,keep
2676,merit,noun,C1,2,2,PAGINATION,delete
1032,ministry,noun,C1,1,2,PAGINATION,keep
2677,ministry,noun,C1,2,2,PAGINATION,delete
1038,mob,noun,C1,3,2,PAGINATION,keep
2678,mob,noun,C1,1,2,PAGINATION,delete
1042,momentum,noun,C1,2,2,PAGINATION,keep
2679,momentum,noun,C1,1,2,PAGINATION,delete
1057,niche,noun,C1,3,2,PAGINATION,keep
2680,niche,noun,C1,1,2,PAGINATION,delete
1071,nursery,noun,C1,2,2,PAGINATION,keep
2681,nursery,noun,C1,2,2,PAGINATION,delete
1094,outsider,noun,C1,2,2,PAGINATION,keep
2682,outsider,noun,C1,1,2,PAGINATION,delete
1101,pad,noun,C1,3,3,PAGINATION,keep
2683,pad,noun,C1,1,3,PAGINATION,delete
2684,pad,noun,C1,1,3,PAGINATION,delete
1106,partial,adjective,C1,2,2,PAGINATION,keep
2685,partial,adjective,C1,1,2,PAGINATION,delete
1111,patch,noun,C1,3,2,PAGINATION,keep
2687,patch,noun,C1,2,2,PAGINATION,delete
1115,patron,noun,C1,2,2,PAGINATION,keep
2686,patron,noun,C1,1,2,PAGINATION,delete
1116,peak,noun,C1,3,2,PAGINATION,keep
2689,peak,noun,C1,1,2,PAGINATION,delete
1118,peculiar,adjective,C1,3,2,PAGINATION,keep
2688,peculiar,adjective,C1,1,2,PAGINATION,delete
1131,plead,verb,C1,3,2,PAGINATION,keep
2690,plead,verb,C1,1,2,PAGINATION,delete
1135,pole,noun,C1,3,2,PAGINATION,keep
2691,pole,noun,C1,1,2,PAGINATION,delete
1153,premier,noun,C1,1,2,PAGINATION,keep
2692,premier,noun,C1,1,2,PAGINATION,delete
1169,principal,noun,C1,2,2,PAGINATION,keep
2695,principal,noun,C1,3,2,PAGINATION,delete
1172,probe,"noun, verb",C1,1,2,PAGINATION,keep
2693,probe,"noun, verb",C1,3,2,PAGINATION,delete
1191,protocol,noun,C1,3,2,PAGINATION,keep
2696,protocol,noun,C1,1,2,PAGINATION,delete
1197,pulse,noun,C1,3,2,PAGINATION,keep
2697,pulse,noun,C1,1,2,PAGINATION,delete
1198,pump,"noun, verb",C1,3,2,PAGINATION,keep
2702,pump,"noun, verb",C1,2,2,PAGINATION,delete
1199,punch,"noun, verb",C1,3,2,PAGINATION,keep
2701,punch,"noun, verb",C1,1,2,PAGINATION,delete
1207,rally,"noun, verb",C1,3,2,PAGINATION,keep
2698,rally,"noun, verb",C1,1,2,PAGINATION,delete
1209,rape,"noun, verb",C1,2,2,PAGINATION,keep
2699,rape,"noun, verb",C1,1,2,PAGINATION,delete
1211,ray,noun,C1,3,2,PAGINATION,keep
2700,ray,noun,C1,1,2,PAGINATION,delete
1231,rejection,noun,C1,3,2,PAGINATION,keep
2703,rejection,noun,C1,1,2,PAGINATION,delete
1239,render,verb,C1,3,2,PAGINATION,keep
2705,render,verb,C1,1,2,PAGINATION,delete
1244,representation,noun,C1,2,2,PAGINATION,keep
2704,representation,noun,C1,1,2,PAGINATION,delete
1256,restoration,noun,C1,3,2,PAGINATION,keep
2708,restoration,noun,C1,1,2,PAGINATION,delete
1259,retreat,"noun, verb",C1,3,2,PAGINATION,keep
2706,retreat,"noun, verb",C1,1,2,PAGINATION,delete
1264,revival,noun,C1,2,2,PAGINATION,keep
2707,revival,noun,C1,1,2,PAGINATION,delete
1270,rip,verb,C1,3,2,PAGINATION,keep
2709,rip,verb,C1,1,2,PAGINATION,delete
1272,rock,verb,C1,3,2,PAGINATION,keep
2712,rock,verb,C1,2,2,PAGINATION,delete
1278,sack,verb,C1,2,2,PAGINATION,keep
2710,sack,verb,C1,1,2,PAGINATION,delete
1283,sanction,noun,C1,2,2,PAGINATION,keep
2711,sanction,noun,C1,1,2,PAGINATION,delete
1288,screw,"noun, verb",C1,3,2,PAGINATION,keep
2715,screw,"noun, verb",C1,1,2,PAGINATION,delete
1293,segment,noun,C1,3,2,PAGINATION,keep
2713,segment,noun,C1,1,2,PAGINATION,delete
1303,settlement,noun,C1,3,2,PAGINATION,keep
2714,settlement,noun,C1,1,2,PAGINATION,delete
1308,shed,verb,C1,3,2,PAGINATION,keep
2716,shed,verb,C1,1,2,PAGINATION,delete
1310,shipping,noun,C1,2,2,PAGINATION,keep
2717,shipping,noun,C1,1,2,PAGINATION,delete
1312,shrink,verb,C1,3,2,PAGINATION,keep
2718,shrink,verb,C1,1,2,PAGINATION,delete
1319,sketch,noun,C1,2,2,PAGINATION,keep
2719,sketch,noun,C1,1,2,PAGINATION,delete
1321,slam,verb,C1,3,2,PAGINATION,keep
2720,slam,verb,C1,1,2,PAGINATION,delete
1327,snap,verb,C1,3,2,PAGINATION,keep
2721,snap,verb,C1,2,2,PAGINATION,delete
1338,spam,noun,C1,1,2,PAGINATION,keep
2722,spam,noun,C1,1,2,PAGINATION,delete
1339,span,"noun, verb",C1,3,2,PAGINATION,keep
2725,span,"noun, verb",C1,1,2,PAGINATION,delete
1345,spin,"noun, verb",C1,3,2,PAGINATION,keep
2729,spin,"noun, verb",C1,1,2,PAGINATION,delete
1346,spine,noun,C1,3,2,PAGINATION,keep
2723,spine,noun,C1,2,2,PAGINATION,delete
1355,stake,noun,C1,3,2,PAGINATION,keep
2724,stake,noun,C1,3,2,PAGINATION,delete
1363,stir,verb,C1,3,2,PAGINATION,keep
2728,stir,verb,C1,2,2,PAGINATION,delete
1366,strain,noun,C1,3,2,PAGINATION,keep
2727,strain,noun,C1,1,2,PAGINATION,delete
1367,strand,noun,C1,2,2,PAGINATION,keep
2726,strand,noun,C1,1,2,PAGINATION,delete
1369,strip,"noun, verb",C1,2,2,PAGINATION,keep
1370,strip,verb,C1,3,2,PAGINATION,delete
1373,stumble,verb,C1,2,2,PAGINATION,keep
2733,stumble,verb,C1,1,2,PAGINATION,delete
1384,suburban,adjective,C1,1,2,PAGINATION,keep
2732,suburban,adjective,C1,1,2,PAGINATION,delete
1391,suite,noun,C1,2,2,PAGINATION,keep
2735,suite,noun,C1,2,2,PAGINATION,delete
1398,supplement,"noun, verb",C1,3,2,PAGINATION,keep
2736,supplement,"noun, verb",C1,1,2,PAGINATION,delete
1406,suspension,noun,C1,2,2,PAGINATION,keep
2737,suspension,noun,C1,2,2,PAGINATION,delete
